City_ID,City,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
235,Tommot,2021-09-29 01:20:58,58.9564,126.2925,36.79,97,100,7.43
236,Tacuarembo,2021-09-29 01:20:58,-31.7333,-55.9833,58.23,92,99,11.5
237,Tucurui,2021-09-29 01:20:59,-3.7661,-49.6725,75.27,84,59,3.0
238,Pouembout,2021-09-29 01:20:59,-21.1333,164.9,77.67,59,68,6.29
239,Farafangana,2021-09-29 01:20:59,-22.8167,47.8333,69.87,88,45,10.74
240,Rawson,2021-09-29 01:21:00,-43.3002,-65.1023,54.54,49,76,5.01
241,Padang,2021-09-29 01:21:00,-0.9492,100.3543,77.05,90,99,6.15
242,Inirida,2021-09-29 01:21:00,3.8653,-67.9239,76.93,85,39,1.92
243,Eyl,2021-09-29 01:21:01,7.9803,49.8164,78.58,76,6,8.21
244,Conceicao Da Barra,2021-09-29 01:21:01,-18.5933,-39.7322,73.36,80,43,7.47
245,Kununurra,2021-09-29 01:21:01,-15.7667,128.7333,91.38,46,12,8.05
246,Takoradi,2021-09-29 01:21:02,4.8845,-1.7554,75.9,90,11,5.64
247,Eyemouth,2021-09-29 01:21:02,55.8713,-2.0901,45.23,96,100,1.99
248,Saldanha,2021-09-29 01:21:02,-33.0117,17.9442,55.45,79,0,25.17
249,Makakilo City,2021-09-29 01:21:03,21.3469,-158.0858,86.32,62,40,11.5
250,Geelong,2021-09-29 01:21:03,-38.1471,144.3607,63.82,71,90,5.01
251,Cayenne,2021-09-29 01:21:03,4.9333,-52.3333,83.08,81,20,4.0
252,Lorengau,2021-09-29 01:21:04,-2.0226,147.2712,85.24,71,31,8.77
253,Ancud,2021-09-29 01:21:04,-41.8697,-73.8203,44.13,81,100,2.33
254,Grindavik,2021-09-29 01:21:04,63.8424,-22.4338,39.15,87,90,44.87
255,Chunskiy,2021-09-29 01:21:04,56.0815,99.6342,32.86,93,95,2.19
256,La Ronge,2021-09-29 01:21:05,55.1001,-105.2842,66.45,59,90,6.91
257,Klaksvik,2021-09-29 01:21:05,62.2266,-6.589,45.52,85,100,6.44
258,Kirakira,2021-09-29 01:21:05,-10.4544,161.9205,84.34,72,88,9.46
259,Warrington,2021-09-29 01:21:06,53.3925,-2.5802,50.49,92,40,1.01
260,Yar-Sale,2021-09-29 01:18:39,66.8333,70.8333,36.19,98,100,5.39
261,Ihosy,2021-09-29 01:21:06,-22.4,46.1167,63.32,87,59,5.53
262,Touros,2021-09-29 01:18:14,-5.1989,-35.4608,77.9,82,91,15.05
263,Onguday,2021-09-29 01:21:07,50.75,86.15,36.84,90,100,3.87
264,Tecoanapa,2021-09-29 01:21:07,16.5167,-98.75,80.49,76,76,6.8
265,Noumea,2021-09-29 01:21:07,-22.2763,166.4572,80.58,69,76,16.51
266,Sudak,2021-09-29 01:21:08,44.85,34.9667,54.28,77,36,8.84
267,Saint-Sauveur-Des-Monts,2021-09-29 01:21:08,45.9001,-74.1659,53.78,74,100,2.08
268,Eureka,2021-09-29 01:17:57,40.8021,-124.1637,62.67,78,100,4.0
269,Melville,2021-09-29 01:21:08,40.7934,-73.4151,69.55,80,40,8.05
270,Atar,2021-09-29 01:21:09,20.5169,-13.0499,93.2,10,8,6.2
271,Fuling,2021-09-29 01:21:09,29.7022,107.3919,75.42,79,0,2.48
272,Lexington,2021-09-29 01:17:23,37.9887,-84.4777,71.98,84,1,4.61
273,Kapit,2021-09-29 01:21:09,2.0167,112.9333,75.76,98,100,0.2
274,Salalah,2021-09-29 01:21:06,17.0151,54.0924,80.69,83,20,3.44
275,High Level,2021-09-29 01:21:10,58.5169,-117.136,53.71,87,75,4.61
276,Mayskiy,2021-09-29 01:21:10,47.6931,40.1025,51.44,75,88,10.18
277,Terra Santa,2021-09-29 01:21:11,-2.1042,-56.4869,78.15,68,23,1.88
278,Jiangyou,2021-09-29 01:21:11,31.7667,104.7167,71.85,83,7,2.13
279,Tabas,2021-09-29 01:21:11,33.5959,56.9244,76.59,15,0,1.45
280,Edea,2021-09-29 01:21:12,3.8,10.1333,76.78,99,100,1.68
281,Lompoc,2021-09-29 01:21:12,34.6391,-120.4579,73.11,65,1,11.5
282,Komatipoort,2021-09-29 01:21:12,-25.4332,31.9548,68.05,83,3,6.58
283,Santa Lucia,2021-09-29 01:21:12,27.9117,-15.5407,66.11,77,40,23.02
284,Paraiso,2021-09-29 01:21:13,9.8383,-83.8656,68.88,78,100,0.45
285,Bilibino,2021-09-29 01:18:55,68.0546,166.4372,16.25,86,77,2.44
286,Anadyr,2021-09-29 01:21:13,64.75,177.4833,28.9,63,0,15.66
287,Erice,2021-09-29 01:21:14,38.037,12.5865,64.87,94,40,3.44
288,Riohacha,2021-09-29 01:21:14,11.5444,-72.9072,80.83,84,100,3.53
289,Mangai,2021-09-29 01:21:14,-4.05,19.5333,69.71,99,100,0.74
290,Maneadero,2021-09-29 01:21:15,31.7167,-116.5667,68.11,76,8,1.01
291,Dakar,2021-09-29 01:21:15,14.6937,-17.4441,82.53,94,20,4.61
292,Sirvintos,2021-09-29 01:21:15,55.05,24.95,47.21,94,15,7.25
293,Yenagoa,2021-09-29 01:21:16,4.9247,6.2642,74.97,95,15,3.36
294,Tomatlan,2021-09-29 01:21:16,19.9333,-105.25,77.56,88,81,1.16
295,Dolores,2021-09-29 01:21:16,-36.3132,-57.6792,47.5,94,100,6.91
296,Trzcianka,2021-09-29 01:21:17,53.0406,16.4563,55.76,67,100,9.78
297,Flinders,2021-09-29 01:21:17,-34.5833,150.8552,72.05,69,100,4.0
298,Puerto Baquerizo Moreno,2021-09-29 01:21:17,-0.9,-89.6,69.28,89,59,8.5
299,Paoua,2021-09-29 01:21:18,7.2427,16.4406,69.35,98,100,3.71
300,Khandyga,2021-09-29 01:21:18,62.6667,135.6,41.23,43,0,6.89
301,Tuy Hoa,2021-09-29 01:21:18,13.0833,109.3,81.9,78,46,5.1
302,Tezu,2021-09-29 01:19:12,27.9167,96.1667,79.03,75,23,0.6
303,Harrison,2021-09-29 01:21:19,30.4091,-89.0436,73.35,99,20,3.44
304,Genhe,2021-09-29 01:21:19,50.7833,121.5167,36.25,76,16,8.88
305,Dingle,2021-09-29 01:21:19,10.9995,122.6711,83.64,79,39,4.9
306,Leshukonskoye,2021-09-29 01:21:20,64.8989,45.7622,39.45,94,79,2.26
307,Disna,2021-09-29 01:21:20,55.568,28.1971,46.56,90,100,6.64
308,Norman Wells,2021-09-29 01:21:20,65.282,-126.8329,30.24,93,90,16.11
309,Carutapera,2021-09-29 01:21:21,-1.195,-46.02,75.7,92,5,6.29
310,Mana,2021-09-29 01:21:21,5.6592,-53.7767,79.09,83,51,8.79
311,Canatlan,2021-09-29 01:21:21,24.5167,-104.7833,68.32,57,99,5.28
312,Casablanca,2021-09-29 01:21:21,33.5928,-7.6192,71.33,83,40,13.0
